id,question,syntax_depth
247,Cho đoạn trích sau Thấy lão nằn nì mãi tôi đành nhận vậy Lúc lão ra về tôi còn hỏi  Có đồng nào cụ nhặt nhạnh đưa cho tôi cả thì cụ lấy gì mà ăn Lão cười nhạt bảo  Được ạ Tôi đã liệu đâu vào đấy Thế nào rồi cũng xong  Nam Cao Câu in đậm trên đã vi phạm phương châm hội thoại nào,10
248,Bà nội hỏi cháu  Hôm nay con ăn cơm thế nào  Chả ngon lắm bà ạ Câu in đậm trên đã vi phạm phương châm hội thoại nào,4
249,Theo em khi nào cần thuyết minh sự vật một cách hình tượng bóng bẩy,5
250,Đoạn văn sau sử dụng phương thức biểu đạt nào Từ lâu dừa sáp nổi là đặc sản nổi tiếng của huyện Cầu Kè Theo những người cao niên trong làng thì dừa sáp được trồng vào giữa thế kỉ XX do sư cả chùa Chợ đến Campuchia mua về Nhìn bề ngoài thì cây dừa sáp cũng giống cây dừa ta Sở di dừa được gắn với tên dừa sáp là vì cơm của nó vừa mềm vừa xốp lại dẻo như bột đã được nhào sệt đồng thời lại có màu đùng đục của sáp Đặc biệt cơm dừa chiếm gần trọn cả gáo Thời gian trước người ta thưởng thức dừa bằng cách nạo cơm dừa rồi bỏ vào li đã có sẵn đá rồi sau đó cho sữa bò vào Ngày nay người ta bỏ cơm dừa vào máy xay sinh tố có chứa sữa đá ở trong đó Vị lạnh của đá được xay nhuyễn làm cho vị thơm ngon của dừa trộn sữa toát ra hết rồi lan tỏa khắp miệng để lại sư vị tuyệt vời trên đầu lưỡi Có lẽ nhờ hương vị tuyệt hảo của mỗi trái dừa sáp có giá cao gấp 10 lần dừa thường,41
251,Đọc đoạn văn sau và cho biết biện pháp nghệ thuật nào được sử dụng trong đoạn văn trên để thuyết minh Đi khắp Việt Nam nơi đâu ta cũng gặp những cây chuối thân mềm vươn lên như những trụ cột nhẵn bóng tỏa ra vòm lá xanh mướt che rợp từ vườn tược đến núi rừng Hầu như ở nông thôn nhà nào cũng trồng chuối Cây chuối rất ưa nước nên người ta thường trồng bên ao hồ để nhanh tươi tốt còn bên những khe suối hay thung lũng chuối mọc thành từng rừng bạt ngàn vô tận Chuối phát triển rất nhanh chuối mẹ đẻ chuối con chuối phát triển rất nhanh chuối mẹ đẻ chuối con chuối con đẻ chuối cháu cứ phải gọi là con đàn cháu lũ Những biện pháp nghệ thuật nào được sử dụng trong đoạn văn trên để thuyết minh về cây chuối,21
252,Đoạn văn sau đây được viết theo phương thức thuyết minh kết hợp với biện pháp nghệ thuật nhân hóa Đúng hay sai Múa lân có từ lâu đời và rất thịnh hành ở các tỉnh phía nam Múa lân diễn ra vài những ngày lễ Tết chúc năm mới an khang thịnh vượng Các đoàn lân có khi đông tới trăm người họ là thành viên của một câu lạc bộ hay một lò võ trong vùng Lân được trang trí công phu râu ngũ sắc lông mày bạc mắt lộ to thân mình có các họa tiết đẹp Múa lân rất sôi động với các động tác khỏe khoắn bài bản lân chào ra mắt lân chúc phúc leo cột Bên cạnh đó có ông Địa vui ngộn chạy quanh Thông thường múa lân còn kèm theo cả biểu diễn võ thuật,37
253,Trong đoạn văn trên tác giả kết hợp phương thức biểu đạt gì,4
254,Cho đoạn văn sau Tôi không biết có từ lúc nào không rõ lắm nhưng chắc chắn là từ rất xưa Từ khi con người biết trồng bông dệt vải may áo chắc là phải cần kim để khâu áo Làm ra cây kim lúc đầu hẳn là rất khó khăn cho nên giờ mới có câu tục ngữ Có công mài sắt có ngày nên kim Họ nhà Kim chúng tôi rất đông Ngoài kim khâu vải may áo còn có loại kim dùng để thêu thùa có kim khâu dùng trong phẫu thuật kim khâu giày kim đóng sách sách Công dụng của kim là đưa chỉ mềm luồn qua các vật dày mỏng để kết chúng lại Thiếu chúng tôi thì ngành sản xuất gặp nhiều khó khăn đấy Nghe nói từ cuối thế kỉ XVIII một người Anh đã sáng chế ra máy khâu nhưng máy khâu vẫn cứ phải có kim thì mới khâu được Cùng họ Kim chúng tôi còn có cây kim châm cứu Nó bé mà dài làm bằng bạc dùng để châm vào huyệt chữa bệnh Những cây kim của ông Nguyễn Tài Thu đã nổi tiếng thế giới Đoạn văn vừa trích sử dụng phương thức biểu đạt nào,35
255,Phương pháp thuyết minh nào được sử dụng trong đoạn trích,3
256,Để thuyết minh cho sinh động hấp dẫn bài thuyết minh sử dụng yếu tố miêu tả nhằm,5
257,Cho đoạn văn sau Xuân Quỳnh tên đầy đủ là Nguyễn Thị Xuân Quỳnh sinh 6101942 quê ở thôn La Khê xã Văn Khê ngoại thị Hà Đông tỉnh Hà Tây lớn lên ở Hà Nội Năm 1955 làm diễn viên múa trong đoàn văn công Từ năm 1963 làm báo biên tập viên nhà xuất bản ủy viên Ban chấp hành Hội nhà văn Việt Nam khóa III Xuân Quỳnh làm thơ từ lúc còn là diễn viên Ngay từ những tác phẩm đầu tay Xuân Quỳnh đã bộc lộ một tâm hồn thơ phong phú hồn nhiên tươi mới và sôi nổi khát vọng,20
258,Đoạn văn trên có sử dụng yếu tố miêu tả không,3
259,Đoạn văn dưới đây là đoạn văn gì Con sông Đà tuôn dài tuôn dài như một áng tóc trữ tình đầu tóc chân tóc ẩn hiện trong mây trời Tây Bắc bung nở hoa ban hoa gạo tháng hai và cuồn cuộn mù khói núi Mèo đốt nương xuânMùa xuân dòng sống xanh ngọc bích chứ nước sông Đà không xanh màu canh hến của sông Gâm sông Lô Mùa thu nước Sông Đà lừ lừ chín đỏ như da mặt một người bầm đi vì rượu bữa lừ lừ cái màu đỏ giận dữ ở một người bất mãn mỗi độ thu về,34
260,Để thuyết minh cho sinh động hấp dẫn bài thuyết minh sử dụng yếu tố miêu tả nhằm,5
261,Theo em khi nào cần thuyết minh sự vật một cách hình tượng bóng bẩy,5
262,Đoạn văn sau được viết theo phương thức biểu đạt nào Mạc Đĩnh Chi MĐC thông minh từ nhỏ lại rất chăm chỉ học hành có tài ứng đối mau lẹ Năm 1304 vua Trần Anh Tông mở khoa thi để kén người tài trong bốn cõi Năm ấy ông thi đỗ Trạng nguyên với điểm loại ưu Hôm nhà vua ban cho mũ áo  rất ngạc nhiên thấy MĐC chỉ là một chàng trai có vóc người nhỏ thấp  tướng mạo xấu xí Vua Anh Tông có ý không muốn dùng ông MĐC bực lắm không nói gì cả về nhà viết bài phú  Ngọc tỉnh liên Cây sen trong giếng ngọc ông tự ví mình như một thứ sen thần mọc trong giếng ngọc,26
264,Đọc đoạn văn sau và trả lời câu hỏi 1 Mạc Đĩnh Chi thông minh từ nhỏ lại rất chăm chỉ học hành có tài ứng đối mau lẹ 2 Năm 1304 vua Trần Anh Tông mở khoa thi để kén người tài trong bốn cõi 3 Năm ấy ông thi đỗ Trạng nguyên với điểm loại ưu 4 Hôm nhà vua ban cho mũ áo  rất ngạc nhiên thấy Mạc Đĩnh Chi chỉ là một chàng trai có vóc người nhỏ thấp  tướng mạo xấu xí 5 Vua Anh Tông có ý không muốn dùng ông  Mạc Đĩnh Chi bực lắm không nói gì cả về nhà viết bài phú  Ngọc tỉnh liên Cây sen trong giếng ngọc ông tự ví mình như một thứ sen thần mọc trong giếng ngọc Trong đoạn văn trên câu nào là câu văn miêu tả,25
265,Đọc đoạn văn sau và trả lời câu hỏi Tre gắn bó với con người từ trên cạn cho đến dưới nước Những chiếc thuyền nan cùng người lái đò cần mẫn trở khách qua sông người dân vạn chài giăng lưới để cải thiện cuộc sống hàng ngày Không những thế tre còn là nguyên liệu để làm nhà dựng cửa Xưa kia tre được sử dụng trong không gian kiến trúc nhà ở có phần đa dạng phong phú hơn Nhưng ngày nay khi về các vùng quê Việt Nam đâu đó ta vẫn gặp những chiếc cổng tre sớm chiều khép mở hay những phên liếp trước cửa nhà để che chắn nắng mưa cho ngôi nhà của người Việt Ở đồng bào các dân tộc ít người họ nhà tre được sử dụng trong các phần kiến trúc từ hàng rào phân định ranh giới cho đến mái nhà cầu thang bậc cửa sàn nhà tất thảy đều có sự hiện diện của tre Tre Việt Nam  Thép Mới Đoạn văn trên sử dụng những phương thức biểu đạt nào,23
266,Tre gắn bó với con người từ trên cạn cho đến dưới nước Những chiếc thuyền nan cùng người lái đò cần mẫn trở khách qua sông người dân vạn chài giăng lưới để cải thiện cuộc sống hàng ngày Không những thế tre còn là nguyên liệu để làm nhà dựng cửa Xưa kia tre được sử dụng trong không gian kiến trúc nhà ở có phần đa dạng phong phú hơn Nhưng ngày nay khi về các vùng quê Việt Nam đâu đó ta vẫn gặp những chiếc cổng tre sớm chiều khép mở hay những phên liếp trước cửa nhà để che chắn nắng mưa cho ngôi nhà của người Việt Ở đồng bào các dân tộc ít người họ nhà tre được sử dụng trong các phần kiến trúc từ hàng rào phân định ranh giới cho đến mái nhà cầu thang bậc cửa sàn nhà tất thảy đều có sự hiện diện của tre Tre Việt Nam  Thép Mới Đoạn văn trên sử dụng phương pháp thuyết minh nào,24
267,Trong các câu sau câu nào là câu văn miêu tả,4
269,Trong các câu sau câu nào không phải là câu văn miêu tả,4
270,Để thuyết minh cho sinh động hấp dẫn bài thuyết minh sử dụng yếu tố miêu tả nhằm,5
271,Cho đoạn văn sau Xuân Quỳnh tên đầy đủ là Nguyễn Thị Xuân Quỳnh sinh 6101942 quê ở thôn La Khê xã Văn Khê ngoại thị Hà Đông tỉnh Hà Tây lớn lên ở Hà Nội Năm 1955 làm diễn viên múa trong đoàn văn công Từ năm 1963 làm báo biên tập viên nhà xuất bản ủy viên Ban chấp hành Hội nhà văn Việt Nam khóa III Xuân Quỳnh làm thơ từ lúc còn là diễn viên Ngay từ những tác phẩm đầu tay Xuân Quỳnh đã bộc lộ một tâm hồn thơ phong phú hồn nhiên tươi mới và sôi nổi khát vọng,20
272,Đoạn văn trên có sử dụng yếu tố miêu tả không,3
273,Trong đoạn văn dưới tác giả kết hợp phương thức biểu đạt gì Con sông Đà tuôn dài tuôn dài như một áng tóc trữ tình đầu tóc chân tóc ẩn hiện trong mây trời Tây Bắc bung nở hoa ban hoa gạo tháng hai và cuồn cuộn mù khói núi Mèo đốt nương xuânMùa xuân dòng sống xanh ngọc bích chứ nước sông Đà không xanh màu canh hến của sông Gâm sông Lô Mùa thu nước Sông Đà lừ lừ chín đỏ như da mặt một người bầm đi vì rượu bữa lừ lừ cái màu đỏ giận dữ ở một người bất mãn mỗi độ thu về,34
274,Phương pháp thuyết minh nào được sử dụng trong đoạn trích,3
275,Theo em khi nào cần thuyết minh sự vật một cách hình tượng bóng bẩy,5
276,Cho đoạn văn sau 1 Trên các miền hoa trái nước ta có bốn loại bưởi nổi tiếng bưởi Đoan Hùng ở Phú Thọ bưởi đỏ Mê Linh ở Vĩnh Phúc bưởi Long Thành ở Đồng Nai và bưởi Phú Trạch ở Hà Tĩnh 2 Người sành nhìn hình dáng quả bưởi đã có thể biết được bưởi vùng nào 3 Nếu đúng là bưởi Phúc Trạch thì quả không tròn đỉnh quả không dô ra dáng hơi bẹt đầu cuống và đầu núm 4 Vỏ anh ánh màu vàng mịn không bị rỗ 5 Nâng lên lòng bàn tay vỏ thấm vào da một cảm giác mát mẻ và thoang thoảng hương thơm 6 Chỉ dùng ngón tay trỏ ấn nhẹ vào vỏ xung quanh nơi ấn màu vỏ sáng lên và li ti hiện ra một lớp dầu mơ hồ thoảng mùi hương dìu dịu Theo Võ Văn Trực tạp chí Tia sáng  Xuân 1998 Trong các câu sau câu nào không phải là câu văn miêu tả,17
277,Đoạn văn sau sử dụng phương thức biểu đạt nào Từ lâu dừa sáp nổi là đặc sản nổi tiếng của huyện Cầu Kè Theo những người cao niên trong làng thì dừa sáp được trồng vào giữa thế kỉ XX do sư cả chùa Chợ đến Campuchia mua về Nhìn bề ngoài thì cây dừa sáp cũng giống cây dừa ta Sở di dừa được gắn với tên dừa sáp là vì cơm của nó vừa mềm vừa xốp lại dẻo như bột đã được nhào sệt đồng thời lại có màu đùng đục của sáp Đặc biệt cơm dừa chiếm gần trọn cả gáo Thời gian trước người ta thưởng thức dừa bằng cách nạo cơm dừa rồi bỏ vào li đã có sẵn đá rồi sau đó cho sữa bò vào Ngày nay người ta bỏ cơm dừa vào máy xay sinh tố có chứa sữa đá ở trong đó Vị lạnh của đá được xay nhuyễn làm cho vị thơm ngon của dừa trộn sữa toát ra hết rồi lan tỏa khắp miệng để lại sư vị tuyệt vời trên đầu lưỡi Có lẽ nhờ hương vị tuyệt hảo của mỗi trái dừa sáp có giá cao gấp 10 lần dừa thường,41
278,Đoạn văn thuyết minh dưới có sử dụng yếu tố miêu tả Đúng hay sai Hà Nội có Hồ Gươm Nước xanh như pha mực Em thường nhớ đến câu thơ quen thuộc đó mỗi khi đến Hồ Gươm chơi Hồ Gươm nằm ở trung tâm Thủ đô Hà Nội Mặt hồ trong xanh như tấm thảm khổng lồ Nổi lên giữa hồ trên thảm cỏ xanh rờn là Tháp Rùa cổ kính uy nghiêm Xa xa chiếc cầu Thê Húc màu son cong như con tôm dẫn khách du lịch vào thăm đền Ngọc Sơn Mái đền cổ kính rêu phong nằm cạnh gốc đa già Trong đền có một cụ rùa rất to được trưng bày trong một tủ kính lớn Nhìn cụ rùa này em lại nhớ đến sự tích Hồ Gươm Vua Lê Lợi trả lại kiếm cho thần Kim Quy trên hồ Tả Vọng tức hồ Hoàn Kiếm Khi hè về tiếng ve râm ran hòa lẫn với tiếng chim tạo nên bản hòa tấu kéo dài mãi không thôi Ven đường những hàng liễu nghiêng mình soi bóng xuống hồ như mái tóc dài của các cô thiếu nữ xõa xuống làm duyên Vào những ngày lễ hội mặt hồ lung linh rực rỡ bởi muôn ngàn ánh đèn màu những bông hoa sữa tỏa mùi hương dìu dịu đậu nhẹ nhàng xuống vai áo người qua đường Mai đây dù có đi đâu xa em cũng không quên Hồ Gươm  một thắng cảnh đẹp  đã gắn bó với em suốt thời thơ ấu,55
279,Đọc đoạn văn sau và cho biết biện pháp nghệ thuật nào được sử dụng trong đoạn văn trên để thuyết minh Đi khắp Việt Nam nơi đâu ta cũng gặp những cây chuối thân mềm vươn lên như những trụ cột nhẵn bóng tỏa ra vòm lá xanh mướt che rợp từ vườn tược đến núi rừng Hầu như ở nông thôn nhà nào cũng trồng chuối Cây chuối rất ưa nước nên người ta thường trồng bên ao hồ để nhanh tươi tốt còn bên những khe suối hay thung lũng chuối mọc thành từng rừng bạt ngàn vô tận Chuối phát triển rất nhanh chuối mẹ đẻ chuối con chuối phát triển rất nhanh chuối mẹ đẻ chuối con chuối con đẻ chuối cháu cứ phải gọi là con đàn cháu lũ Những biện pháp nghệ thuật nào được sử dụng trong đoạn văn trên để thuyết minh về cây chuối,21
280,Đọc đoạn văn sau và trả lời câu hỏi Nhà vườn xứ Huế dù giàu hay nghèo thường vẫn có cổng gạch mái khá rộng phía ngoài trồng vài cây có quả ấy là chỗ dừng chân qua cơn mưa là bóng mát dành cho người đi đường là chút lộc hoa trái dành cho trẻ con trong xóm Người Huế lập vườn trước hết là nơi cư ngụ của tâm hồn mình giữa thế gian ước mong nó sẽ là di sản tinh thần để đời cho con cháu Ngôi vườn An Hiên trong vùng Kim Long ở gần chùa Linh Mụ là một kiểu vườn Huế như vậy Muốn vào vườn người ta bước qua một cái vòm cổng xây gạch và thấy nhô lên ở cuối sân chiếc mái ngói cổ với những nét uốn cong ẩn hiện giữa tán lá xanh biếc Một lối đi khá dài hai bên trồng mai trắng lá đan vòm che trên đầu người như nối dài thêm cái vòm cổng vào đến sân Vườn an Hiên có một cây ngọc lan già nửa thế kỉ đứng sát cổng thu tàn đông lạnh nó chỉ rụng lác đác ít lá vàn vẫn giữ một màu lục tươi nguyên khối cây già mà hoa trẻ hoa nở không có mùa Cứ mỗi con mưa con nắng chợt đến lại bừng lên dễ đến hàng vạn đóa hoa trên cây hương bay xa đến mấy dặm Gần gũi với cây ngọc lan là cây hoàng lan thường gọi là bông sứ vàng loài hoa màu vàng đu đủ chín  một giống còn lại ở Huế rất hiếm Bích Loan Nhà vườn bên dòng sông Hương Trong đoạn văn trên tác giả đã kết hợp các phương thức biểu đạt gì,64
281,Trong các câu sau câu nào là câu văn miêu tả,4
282,Nhận định Đoạn văn dưới đây kết kết yếu tố miêu tả trong khi thuyết minh là đúng hay sai Hồ Kim Ngưu dựa theo truyền thuyết hồ Trâu Vàng Truyện kể về một người khổng lồ hết sức to lớn sức khỏe phi thường muôn người không địch nổi ông xuất gia làm thiền sư đó chính là thiền sư Minh Không Thiền sư Minh Không sang Tàu chữa bệnh cho con vua Tống Khi công việc hoàn thành vua muốn trả ơn Nhà sư chỉ xin một ít đồng đen cho vào tay nải Vua Tàu đồng ý cho thiền sư tự ý vào kho lấy đồng Thiền sư đã lấy tất cả đồng đen trong kho bỏ vào tay nải và thả nón tu lờ làm thuyền bơi về nước Nam Về đến Thăng Long ông dùng số đồng đó đúc thành bốn thứ bảo khí nhà Phật Tượng Phật cao 6 trượng chóp đỉnh tháp Báo Thiên chín tầng đỉnh đồng có đường kính 10 sải tay và một quả chuông đồng cực lớn Chuông đúc song đức vua sai ông đánh một hồi chuông dài để báo hiệu cho dân chúng biết tin vui nước nhà đang thái bình thịnh trị Tiếng chuông ngân đến tận kinh đô bên Tàu Nghe tiếng chuông con trâu bằng vàng to lớn nằm trước kho đồng bên Tàu tự dưng bừng tỉnh Đồng đen là mẹ của vàng ngỡ là tiếng mẹ gọi nó liền vươn mình phóng thẳng xuống phương Nam tìm đến quả chuông khổng lồ quần mãi xung quanh Trâu vàng quần quanh mãi mà vẫn không thấy khiến cho cả một vùng đất lớn quanh quả chuông sụt xuống thành một vùng hố sâu Quả chuông sau một hồi cũng đổ sụp xuống hố sâu Trâu vàng cũng theo đó nhảy xuống và nằm bên cạnh chẳng bao lâu sau vùng đất bị trâu vàng dẫm sụt nước tràn đầy trải rộng thành một hồ nước mênh mông Từ đó quả chuông cứ nằm mãi dưới lòng hồ không ai vớt lên nổi và trâu vàng vẫn cứ nằm mãi bên cạnh quả chuông dưới đáy nước sâu mà không quay về phương Bắc nữa  Do vậy người ta bèn đặt tên cho hồ là hồ Kim NgưuThiền sư Minh Không về sau được thợ đúc đồng vùng Ngũ Xá nay ở Đông Nam hồ Trúc Bạch thờ làm tổ sư nghề đúc đồng Đình Ngũ Xá thờ tổ sư Minh Không hiện nằm trên phố Nguyễn Khắc Hiếu chùa Ngũ Xá nằm trên phố Ngũ Xá đều thuộc phường Trúc Bạch Trong đình có tượng tổ sư bằng gỗ cao 1m70 trong chùa có pho tượng đồng A Di Đà cao 3m95 chu vi 11m60 nặng 10 tấn Đây là pho tượng đồng lớn nhất Việt Nam hiện nay,118
283,Đọc đoạn văn sau đây và trả lời câu hỏi 1 Trên các miền hoa trái nước ta có bốn loại bưởi nổi tiếng bởi Đoan Hùng ở Phú Thọ bưởi đỏ Mê Linh ở Vĩnh Phúc bưởi Long Thành ở Đồng Nai và bưởi Phúc Trạch ở Hà Tĩnh 2 Người sành nhìn hình dáng quả bưởi đã có thể biết được bưởi vùng nào 3 Nếu đúng là bưởi Phúc Trạch thì quả không tròn đỉnh quả không dô ra dáng hơi dẹt đầu cuống và đầu núm 4 Vỏ anh ánh màu vàng mịn không bị rỗ 5 Nâng trên lòng bàn tay vỏ thấm vào da một cảm giác mát mẻ và thoang thoảng hương thơm 6 Chỉ dùng ngón tay trỏ ấn nhẹ vào vỏ xung quanh nơi ấn màu vỏ sáng lên và li ti hiện ra một lớp tinh dầu mơ hồ thoảng mùi hương dìu dịu theo Võ Văn Trực tạp chí Tia sáng Xuân 1998 Trong các câu sau câu nào không phải là câu văn miêu tả,16
284,Đoạn văn thuyết minh dưới có sử dụng yếu tố miêu tả Đúng hay sai Hồ Tây là góc lãng mạn nhất trong bức tranh Hà Nội đa màu là thế giới của những làn gió trong trẻo sự phóng khoáng và giàu chất thơ Bởi là một thắng cảnh đẹp của Hà Nội nên Hồ Tây đã đi vào ca dao xưa cũng như được nhiều nhà thơ của các thời đại dùng làm đề tài ngâm vịnh Gió đưa cành trúc la đà Tiếng chuông Trấn Vũ canh gà Thọ Xương Mịt mù khói tỏa ngàn sương Nhịp chày Yên Thái mặt gương Tây Hồ Cao Bá Quát một nhà thơ nổi tiếng thời nhà Nguyễn đã từng miêu tả hồ Tây Tây hồ chân cá thị Tây Thi nghĩa là hồ Tây đích thực là nàng Tây Thi Đây là một cách ví von độc đáo nhưng thật đúng với hồ Tây một thắng cảnh của thủ đô đẹp cả bốn mùa lộng lẫy trong mùa xuân rực rỡ trong mùa hè thanh tú trong mùa thu đằm thắm trong mùa đông,40
285,Khi nào cần thuyết minh sự vật một cách hình tượng bóng bẩy,6
286,Miêu tả trong văn thuyết minh có vai trò gì,4
287,Đoạn văn thuyết minh dưới có sử dụng yếu tố miêu tả Đúng hay sai Hà Nội có Hồ Gươm Nước xanh như pha mực Em thường nhớ đến câu thơ quen thuộc đó mỗi khi đến Hồ Gươm chơi Hồ Gươm nằm ở trung tâm Thủ đô Hà Nội Mặt hồ trong xanh như tấm thảm khổng lồ Nổi lên giữa hồ trên thảm cỏ xanh rờn là Tháp Rùa cổ kính uy nghiêm Xa xa chiếc cầu Thê Húc màu son cong như con tôm dẫn khách du lịch vào thăm đền Ngọc Sơn Mái đền cổ kính rêu phong nằm cạnh gốc đa già Trong đền có một cụ rùa rất to được trưng bày trong một tủ kính lớn Nhìn cụ rùa này em lại nhớ đến sự tích Hồ Gươm Vua Lê Lợi trả lại kiếm cho thần Kim Quy trên hồ Tả Vọng tức hồ Hoàn Kiếm Khi hè về tiếng ve râm ran hòa lẫn với tiếng chim tạo nên bản hòa tấu kéo dài mãi không thôi Ven đường những hàng liễu nghiêng mình soi bóng xuống hồ như mái tóc dài của các cô thiếu nữ xõa xuống làm duyên Vào những ngày lễ hội mặt hồ lung linh rực rỡ bởi muôn ngàn ánh đèn màu những bông hoa sữa tỏa mùi hương dìu dịu đậu nhẹ nhàng xuống vai áo người qua đường Mai đây dù có đi đâu xa em cũng không quên Hồ Gươm  một thắng cảnh đẹp  đã gắn bó với em suốt thời thơ ấu,55
288,Đọc đoạn văn sau và trả lời câu hỏi Nhà vườn xứ Huế dù giàu hay nghèo thường vẫn có cổng gạch mái khá rộng phía ngoài trồng vài cây có quả ấy là chỗ dừng chân qua cơn mưa là bóng mát dành cho người đi đường là chút lộc hoa trái dành cho trẻ con trong xóm Người Huế lập vườn trước hết là nơi cư ngụ của tâm hồn mình giữa thế gian ước mong nó sẽ là di sản tinh thần để đời cho con cháu Ngôi vườn An Hiên trong vùng Kim Long ở gần chùa Linh Mụ là một kiểu vườn Huế như vậy Muốn vào vườn người ta bước qua một cái vòm cổng xây gạch và thấy nhô lên ở cuối sân chiếc mái ngói cổ với những nét uốn cong ẩn hiện giữa tán lá xanh biếc Một lối đi khá dài hai bên trồng mai trắng lá đan vòm che trên đầu người như nối dài thêm cái vòm cổng vào đến sân Vườn an Hiên có một cây ngọc lan già nửa thế kỉ đứng sát cổng thu tàn đông lạnh nó chỉ rụng lác đác ít lá vàn vẫn giữ một màu lục tươi nguyên khối cây già mà hoa trẻ hoa nở không có mùa Cứ mỗi con mưa con nắng chợt đến lại bừng lên dễ đến hàng vạn đóa hoa trên cây hương bay xa đến mấy dặm Gần gũi với cây ngọc lan là cây hoàng lan thường gọi là bông sứ vàng loài hoa màu vàng đu đủ chín  một giống còn lại ở Huế rất hiếm Bích Loan Nhà vườn bên dòng sông Hương  Trong đoạn văn trên tác giả đã kết hợp các phương thức biểu đạt gì,64
289,Trong các câu sau câu nào là câu văn miêu tả,4
290,Nhận định Đoạn văn dưới đây kết kết yếu tố miêu tả trong khi thuyết minh là đúng hay sai Hồ Kim Ngưu dựa theo truyền thuyết hồ Trâu Vàng Truyện kể về một người khổng lồ hết sức to lớn sức khỏe phi thường muôn người không địch nổi ông xuất gia làm thiền sư đó chính là thiền sư Minh Không Thiền sư Minh Không sang Tàu chữa bệnh cho con vua Tống Khi công việc hoàn thành vua muốn trả ơn Nhà sư chỉ xin một ít đồng đen cho vào tay nải Vua Tàu đồng ý cho thiền sư tự ý vào kho lấy đồng Thiền sư đã lấy tất cả đồng đen trong kho bỏ vào tay nải và thả nón tu lờ làm thuyền bơi về nước Nam Về đến Thăng Long ông dùng số đồng đó đúc thành bốn thứ bảo khí nhà Phật Tượng Phật cao 6 trượng chóp đỉnh tháp Báo Thiên chín tầng đỉnh đồng có đường kính 10 sải tay và một quả chuông đồng cực lớn Chuông đúc song đức vua sai ông đánh một hồi chuông dài để báo hiệu cho dân chúng biết tin vui nước nhà đang thái bình thịnh trị Tiếng chuông ngân đến tận kinh đô bên Tàu Nghe tiếng chuông con trâu bằng vàng to lớn nằm trước kho đồng bên Tàu tự dưng bừng tỉnh Đồng đen là mẹ của vàng ngỡ là tiếng mẹ gọi nó liền vươn mình phóng thẳng xuống phương Nam tìm đến quả chuông khổng lồ quần mãi xung quanh Trâu vàng quần quanh mãi mà vẫn không thấy khiến cho cả một vùng đất lớn quanh quả chuông sụt xuống thành một vùng hố sâu Quả chuông sau một hồi cũng đổ sụp xuống hố sâu Trâu vàng cũng theo đó nhảy xuống và nằm bên cạnh chẳng bao lâu sau vùng đất bị trâu vàng dẫm sụt nước tràn đầy trải rộng thành một hồ nước mênh mông Từ đó quả chuông cứ nằm mãi dưới lòng hồ không ai vớt lên nổi và trâu vàng vẫn cứ nằm mãi bên cạnh quả chuông dưới đáy nước sâu mà không quay về phương Bắc nữa  Do vậy người ta bèn đặt tên cho hồ là hồ Kim NgưuThiền sư Minh Không về sau được thợ đúc đồng vùng Ngũ Xá nay ở Đông Nam hồ Trúc Bạch thờ làm tổ sư nghề đúc đồng Đình Ngũ Xá thờ tổ sư Minh Không hiện nằm trên phố Nguyễn Khắc Hiếu chùa Ngũ Xá nằm trên phố Ngũ Xá đều thuộc phường Trúc Bạch Trong đình có tượng tổ sư bằng gỗ cao 1m70 trong chùa có pho tượng đồng A Di Đà cao 3m95 chu vi 11m60 nặng 10 tấn Đây là pho tượng đồng lớn nhất Việt Nam hiện nay,118
291,Đoạn văn thuyết minh dưới có sử dụng yếu tố miêu tả Đúng hay sai Hồ Tây là góc lãng mạn nhất trong bức tranh Hà Nội đa màu là thế giới của những làn gió trong trẻo sự phóng khoáng và giàu chất thơ Bởi là một thắng cảnh đẹp của Hà Nội nên Hồ Tây đã đi vào ca dao xưa cũng như được nhiều nhà thơ của các thời đại dùng làm đề tài ngâm vịnh Gió đưa cành trúc la đà Tiếng chuông Trấn Vũ canh gà Thọ Xương Mịt mù khói tỏa ngàn sương Nhịp chày Yên Thái mặt gương Tây Hồ Cao Bá Quát một nhà thơ nổi tiếng thời nhà Nguyễn đã từng miêu tả hồ Tây Tây hồ chân cá thị Tây Thi nghĩa là hồ Tây đích thực là nàng Tây Thi Đây là một cách ví von độc đáo nhưng thật đúng với hồ Tây một thắng cảnh của thủ đô đẹp cả bốn mùa lộng lẫy trong mùa xuân rực rỡ trong mùa hè thanh tú trong mùa thu đằm thắm trong mùa đông,40
292,Các lĩnh vực như ý tế thực phẩm giáo dục được tác giả đưa ra trong bài viết nhằm mục đích gì,6
293,Đặc sắc nhất về nghệ thuật lập luận của tác giả trong đoạn văn nói về các lĩnh vực y tế thực phẩm giáo dục là gì,9
294,Vì sao tác giả không nêu luận điểm chúng ta phải có nhiệm vụ ngăn chặn chiến tranh hạt nhân đấu tranh vì một thế giới hòa bình lên trước luận điểm nguy cơ chiến tranh hạt nhân đang đe dọa toàn bộ sự sống trên trái đất,14
295,Ý nào không phải là lí do mà tác giả đề nghị mở một nhà băng lưu giữ trí nhớ,6
296,Ngoài ra còn có các yếu tố nào đặc sắc về mặt nghệ thuật nào giúp tăng thêm sức thuyết phục cho bài viết,7
